Date;EMP;PE;CAPE;DY;Rho;MOV ;IR;RR;Y02;Y10;STP;CF;MG;RV;ED;UN;GDP;M2;CPI;DIL;YSS;NYF;_AU;_DXY;_LCP;_TY;_OIL;_MKT;_VA;_GR
8/28/88;2,0%;11,6;13,731;3,85;-0,088;126,2;7,33;0,497;8,779;9,386;0,607;0,0813008130081301;11,8%;10,6%;13,6%;-0,0666666666666668;0,0419318040120329;0,0587475790832797;0,044640026851144;-0,00130816908608245;0,136659;1,610252103;431,75;97,49;2395,9;95,534;15,35;411,6;898,97;476,915
9/4/88;2,0%;11,8;13,891;3,79;-0,082;121,2;7,22;0,497;8,447;8,993;0,546;0,0813008130081301;11,8%;10,5%;13,6%;-0,0666666666666668;0,0419318040120329;0,0587475790832797;0,044640026851144;-0,0011834676880802;0,175008;1,610252103;428,25;97,54;2394,6;98,221;14,79;419,62;866;462,324
9/11/88;2,0%;11,9;14,021;3,75;-0,074;120,1;7,28;0,497;8,393;8,92;0,527;0,0813008130081301;11,8%;10,5%;13,6%;-0,0666666666666668;0,0419318040120329;0,0587475790832797;0,044640026851144;-0,00118346219018328;0,08534;1,610252103;429,25;97,21;2368,5;98,842;14,14;423,97;866;462,324
9/18/88;2,0%;12,1;14,205;3,71;-0,068;120,2;7,15;0,713;8,389;8,93;0,541;-0,0432152117545376;11,8%;10,5%;13,6%;-0,0847457627118644;0,0419318040120329;0,0562243257724595;0,0461424194596602;-0,00118345531788366;0,105024;1,013934879;412;98,03;2479,5;98,948;14,49;429,95;866;462,324
9/25/88;2,0%;12,1;14,194;3,71;-0,079;105,5;7,23;0,713;8,435;8,957;0,522;-0,0432152117545376;11,8%;10,4%;13,5%;-0,0847457627118644;0,0419318040120329;0,0562243257724595;0,0461424194596602;-0,00141191933946327;0,078457;1,013934879;398,25;98,12;2463,4;98,939;14,26;430,04;866;462,324
10/2/88;2,2%;11,9;14,302;3,68;-0,121;107,9;7,25;0,713;8,432;8,862;0,43;-0,0432152117545376;10,9%;10,6%;12,4%;-0,0847457627118644;0,0419318040120329;0,0562243257724595;0,0461424194596602;-0,00403443116374968;0,070533;1,013934879;394,75;97,69;2567,4;99,709;13,32;433,74;898,742;484,585
10/9/88;2,2%;12,1;14,543;3,61;0,29;103,4;7,27;0,713;8,269;8,688;0,419;-0,0432152117545376;10,9%;10,6%;12,3%;-0,0847457627118644;0,0419318040120329;0,0562243257724595;0,0461424194596602;-0,00403209917179137;0,091685;1,013934879;403;97,33;2668,5;100,988;12,98;442,95;898,742;484,585
10/16/88;2,2%;12;14,424;3,64;0,382;101,3;7,32;0,9;8,335;8,809;0,474;0,0156385751520418;10,9%;10,6%;12,3%;-0,1;0,0419318040120329;0,0534673866704563;0,0450799985219674;-0,00376335608815026;0,08299;0,518327948;409;94,37;2845;100,378;14,9;439,75;898,742;484,585
10/23/88;2,2%;12,3;14,778;3,55;0,431;104,4;7,44;0,9;8,403;8,818;0,415;0,0156385751520418;10,9%;10,6%;12,3%;-0,1;0,0419318040120329;0,0534673866704563;0,0450799985219674;-0,00375058113718552;0,089334;0,518327948;410;93,39;3195,7;100,485;14,22;450,98;898,742;484,585
10/30/88;2,2%;12;14,458;3,64;0,446;98,4;7,37;0,9;8,293;8,69;0,397;0,0156385751520418;10,9%;10,6%;12,3%;-0,1;0,0419318040120329;0,0534673866704563;0,0450799985219674;-0,00375171876485425;0,065428;0,518327948;411,25;93,04;3250;101,466;13,78;441,63;898,742;484,585
11/6/88;2,1%;11,9;14,323;3,66;0,444;100,2;7,45;0,9;8,423;8,836;0,413;0,0156385751520418;11,1%;10,7%;11,9%;-0,1;0,0419318040120329;0,0534673866704563;0,0450799985219674;-0,00540174539332805;0,057592;0,518327948;420,5;93,8;3317,1;100,702;14,04;438,32;928,786;497,835
11/13/88;2,1%;11,5;13,862;3,79;0,461;103,2;7,64;0,9;8,652;8,979;0,327;0,159722222222222;11,1%;10,7%;11,9%;-0,0689655172413792;0,0243445181736295;0,0519351520096491;0,0424798658336558;-0,00539940150932827;0,100037;0,518327948;420,5;91,53;3239,5;99,972;13,99;424,62;928,786;497,835
11/20/88;2,1%;11,4;13,782;3,83;0,495;107,5;7,94;1,559;8,797;9,071;0,274;0,120039682539683;11,1%;10,7%;11,9%;-0,0862068965517241;0,0379935956649346;0,0572209017701939;0,0457971655516853;-0,00540052961827597;0,05764;0,741313776;417,75;91,43;3196,3;99,569;13,47;422,61;928,786;497,835
11/27/88;2,1%;11,4;13,8;3,83;0,536;100,1;8,03;1,559;9,038;9,184;0,146;0,120039682539683;11,1%;10,7%;11,9%;-0,0862068965517241;0,0379935956649346;0,0572209017701939;0,0457971655516853;-0,00539122933941794;0,046476;0,741313776;424,25;90,12;3517,6;99,046;15,43;423,62;928,786;497,835
12/4/88;2,0%;11,6;14,021;3,76;0,538;95,9;8,07;1,559;9,121;9,169;0,048;0,120039682539683;11,0%;10,6%;11,8%;-0,0862068965517241;0,0379935956649346;0,0572209017701939;0,0457971655516853;-0,00750837191577014;0,078612;0,741313776;424,75;90,06;3616,7;99,126;15,69;431,53;915,73;489,394
12/11/88;2,0%;11,8;14,287;3,7;0,529;111,3;7,88;1,559;9,066;9,081;0,015;0,120039682539683;11,0%;10,6%;11,8%;-0,0862068965517241;0,0379935956649346;0,0572209017701939;0,0457971655516853;-0,0078986873746103;0,094093;0,741313776;420,75;90,84;3676,2;99,861;15,9;440,17;915,73;489,394
12/18/88;2,0%;11,8;14,228;3,72;0,539;99,7;8,16;1,828;9,192;9,168;-0,024;0,108635097493036;11,0%;10,6%;11,8%;-0,0701754385964913;0,0379935956649346;0,0572459666006226;0,0465099178263508;-0,00789632497136039;0,059692;0,683115937;411,75;92,09;3437,3;99,47;16,81;438,81;915,73;489,394
